dt_captura,no_emissor,link
2026-08-27,Rumo Malha Paulista S.A.,https://www.fitchratings.com/entity/rumo-malha-paulista-sa-87217976
2026-08-27,Rumo Malha Sul S.A.,https://www.fitchratings.com/entity/rumo-malha-sul-sa-87217992
2026-08-27,Rumo S.A.,https://www.fitchratings.com/entity/rumo-sa-80614433
2026-08-27,Rumo Malha Norte S.A.,https://www.fitchratings.com/entity/rumo-malha-norte-sa-80614513
2026-08-27,Brava Energia S.A.,https://www.fitchratings.com/entity/3r-petroleum-oleo-e-gas-sa-97357047
2026-08-27,FIDC Cielo,https://www.fitchratings.com/entity/fundo-de-investimento-em-direitos-creditorios-cielo-96522351
2026-08-27,Cooperativa de Credito Sul-Litoranea do Espirito Santo - Sicoob Sul-Litoraneo,https://www.fitchratings.com/entity/cooperativa-de-credito-sul-litoranea-do-espirito-santo-sicoob-sul-litoraneo-96790669
2026-08-27,Cooperativa de Credito Conexao - Sicoob Conexao,https://www.fitchratings.com/entity/cooperativa-de-credito-leste-capixaba-sicoob-leste-capixaba-96790658
2026-08-27,Cooperativa de Credito Credirochas - Sicoob Credirochas,https://www.fitchratings.com/entity/cooperativa-de-credito-dos-proprietarios-da-industria-de-rochas-ornamentais-cal-e-calcarios-do-estado-do-espirito-santo-sicoob-credirochas-96790654
2026-08-27,Cooperativa de Credito Coopermais - Sicoob Coopermais,https://www.fitchratings.com/entity/cooperativa-de-credito-centro-serrana-do-espirito-santo-sicoob-centro-serrano-96790672
2026-08-27,Cooperativa de Credito Sul do Espirito Santo - Sicoob Sul,https://www.fitchratings.com/entity/cooperativa-de-credito-sul-do-espirito-santo-sicoob-sul-96790661
2026-08-27,Cooperativa de Credito Sul-Serrana do Espirito Santo - Sicoob Sul-Serrano,https://www.fitchratings.com/entity/cooperativa-de-credito-sul-serrana-do-espirito-santo-sicoob-sul-serrano-96722697
2026-08-27,Cooperativa Central de Credito do Espirito Santo - Sicoob Central ES,https://www.fitchratings.com/entity/cooperativa-central-de-credito-do-espirito-santo-sicoob-central-es-96743383
2026-08-27,Companhia Energetica de Minas Gerais (CEMIG),https://www.fitchratings.com/entity/companhia-energetica-de-minas-gerais-cemig-80614480
