data_captura,no_entidade,link,Tipo de Rating,Rating,Data da Ação de Rating,Ação de Rating,CreditWatch/ Perspectiva,dt_captura
,Log-In Logistica Intermodal S.A.,https://www.fitchratings.com/entity/log-in-logistica-intermodal-sa-96910097,National Long Term Rating,WD(bra),2025-06-05,Withdrawn,,2026-06-05
,Companhia Energetica do Ceara,https://www.fitchratings.com/entity/companhia-energetica-do-ceara-96574578,National Long Term Rating,AA+(bra),2026-04-24,Downgrade,Rating Outlook Negative,2026-06-08
,General Shopping e Outlets do Brasil S.A.,https://www.fitchratings.com/entity/general-shopping-e-outlets-do-brasil-sa-89879673,Long Term Issuer Default Rating,C,2026-06-08,Downgrade,,2026-06-08
,General Shopping e Outlets do Brasil S.A.,https://www.fitchratings.com/entity/general-shopping-e-outlets-do-brasil-sa-89879673,National Long Term Rating,C(bra),2026-06-08,Downgrade,,2026-06-08
,General Shopping e Outlets do Brasil S.A.,https://www.fitchratings.com/entity/general-shopping-e-outlets-do-brasil-sa-89879673,Local Currency Long Term Issuer Default Rating,C,2026-06-08,Downgrade,,2026-06-08
,Multiplan Empreendimentos Imobiliarios S.A.,https://www.fitchratings.com/entity/multiplan-empreendimentos-imobiliarios-sa-96177986,National Long Term Rating,AAA(bra),2026-06-04,Review - No Action,Rating Outlook Stable,2026-06-08
,Enel Green Power Volta Grande S.A.,https://www.fitchratings.com/entity/enel-green-power-volta-grande-sa-96819597,National Long Term Rating,AAA(bra),2026-06-03,Affirmed,Rating Outlook Negative,2026-06-08
,Transportadora Associada de Gas S.A. - TAG,https://www.fitchratings.com/entity/transportadora-associada-de-gas-sa-tag-96625934,Long Term Issuer Default Rating,BB+,2026-06-03,Affirmed,Rating Outlook Stable,2026-06-08
,Transportadora Associada de Gas S.A. - TAG,https://www.fitchratings.com/entity/transportadora-associada-de-gas-sa-tag-96625934,National Long Term Rating,AAA(bra),2026-06-03,Affirmed,Rating Outlook Stable,2026-06-08
,Transportadora Associada de Gas S.A. - TAG,https://www.fitchratings.com/entity/transportadora-associada-de-gas-sa-tag-96625934,Local Currency Long Term Issuer Default Rating,BBB-,2026-06-03,Affirmed,Rating Outlook Stable,2026-06-08
,"Sao Paulo, State of",https://www.fitchratings.com/entity/sao-paulo-state-of-90237272,Long Term Issuer Default Rating,BB,2026-06-03,Affirmed,Rating Outlook Stable,2026-06-08
,"Sao Paulo, State of",https://www.fitchratings.com/entity/sao-paulo-state-of-90237272,Short Term Issuer Default Rating,B,2026-06-03,Affirmed,,2026-06-08
,"Sao Paulo, State of",https://www.fitchratings.com/entity/sao-paulo-state-of-90237272,National Long Term Rating,AAA(bra),2026-06-03,Affirmed,Rating Outlook Stable,2026-06-08
,"Sao Paulo, State of",https://www.fitchratings.com/entity/sao-paulo-state-of-90237272,Local Currency Short Term Issuer Default Rating,B,2026-06-03,Affirmed,,2026-06-08
,"Sao Paulo, State of",https://www.fitchratings.com/entity/sao-paulo-state-of-90237272,National Short Term Rating,F1+(bra),2026-06-03,Affirmed,,2026-06-08
,"Sao Paulo, State of",https://www.fitchratings.com/entity/sao-paulo-state-of-90237272,Standalone Credit Profile,bb,2026-06-03,Upgrade,,2026-06-08
,"Sao Paulo, State of",https://www.fitchratings.com/entity/sao-paulo-state-of-90237272,Local Currency Long Term Issuer Default Rating,BB,2026-06-03,Affirmed,Rating Outlook Stable,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Long Term Issuer Default Rating,BB+,2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Short Term Issuer Default Rating,B,2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,National Long Term Rating,AAA(bra),2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Viability Rating,bb,2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Local Currency Short Term Issuer Default Rating,F3,2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,National Short Term Rating,F1+(bra),2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Shareholder Support Rating,bb+,2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Local Currency Long Term Issuer Default Rating,BBB-,2026-06-02,Affirmed,Rating Outlook Stable,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Long Term Issuer Default Rating (xgs),BB(xgs),2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Short Term Issuer Default Rating (xgs),B(xgs),2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Local Currency Long Term Issuer Default Rating (xgs),BB(xgs),2026-06-02,Affirmed,,2026-06-08
,Banco BOCOM BBM S.A.,https://www.fitchratings.com/entity/banco-bocom-bbm-sa-80732935,Local Currency Short Term Issuer Default Rating (xgs),B(xgs),2026-06-02,Affirmed,,2026-06-08
