dt_captura,no_emissor,link
2026-09-02,AMBEV S.A.,
2026-09-02,AUTOMOB Participações S.A.,
2026-09-02,AXS Energia Unidade 08 S.A.,
2026-09-02,Adami S.A. - Madeiras,
2026-09-02,Aegea Saneamento e Participações S.A.,
2026-09-02,Afya Participações S.A.,
2026-09-02,Alibem Alimentos S.A.,
2026-09-02,Allos S.A.,
2026-09-02,Argo Energia Empreendimentos e Participações S.A.,
2026-09-02,"Armac Locação, Logistica e Serviços S.A.",
2026-09-02,Associação Hospitalar Moinhos de Vento,
2026-09-02,Auren Energia S.A.,
2026-09-02,Auren Operações S.A. (sucessora de AES Brasil Operações S.A.),
2026-09-02,Auren Participações S.A.,
2026-09-02,"B3 S.A. – Brasil, Bolsa, Balcão",
2026-09-02,BRK Ambiental - Mauá S.A.,
2026-09-02,BRK Ambiental - Uruguaiana S.A.,
2026-09-02,BRK Ambiental Participações S.A.,
2026-09-02,BRK Ambiental Região Metropolitana de Maceió S.A.,
2026-09-02,Be8 S.A.,
2026-09-02,Bemol S.A.,
2026-09-02,Boa Safra Sementes S.A.,
2026-09-02,Borrachas Vipal S.A.,
2026-09-02,Brennand Energia S.A.,
2026-09-02,Brennand Investimentos S.A.,
2026-09-02,CCR S.A.,
2026-09-02,CEMIG Distribuição S.A.,
2026-09-02,CEMIG Geração e Transmissão S.A.,
2026-09-02,CM Hospitalar S.A. (Viveo),
2026-09-02,CPFL Energia S.A.,
2026-09-02,CPFL Transmissão S.A.,
2026-09-02,Cajuina AB1 Holdings S.A.,
2026-09-02,Camil Alimentos S.A.,
2026-09-02,Castrolanda - Cooperativa Agroindustrial Ltda.,
2026-09-02,China Three Gorges Brasil Energia S.A. - CTG,
2026-09-02,Cia. Latino Americana de Medicamentos,
2026-09-02,Claro S.A.,
2026-09-02,Comerc Energia S.A.,
2026-09-02,Companhia Catarinense de Águas e Saneamento - CASAN,
2026-09-02,Companhia Energética de Minas Gerais - CEMIG,
2026-09-02,Companhia Paranaense de Gás – COMPAGAS,
2026-09-02,Companhia Paulista de Força e Luz,
2026-09-02,Companhia Piratininga de Força e Luz,
2026-09-02,Companhia Siderúrgica Nacional (CSN),
2026-09-02,Companhia Ultragaz S.A.,
2026-09-02,Companhia de Gás de São Paulo - Comgás,
2026-09-02,Companhia de Saneamento Ambiental do Distrito Federal - CAESB,
2026-09-02,Companhia de Saneamento de Minas Gerais S.A. - COPASA,
2026-09-02,Companhia de Saneamento do Paraná - SANEPAR,
2026-09-02,Companhia do Metropolitano de São Paulo – Metrô,
2026-09-02,Companhia Águas de Itapema,
2026-09-02,Compass Gás & Energia S.A.,
2026-09-02,Comporte Participações S.A.,
2026-09-02,Corpóreos Serviços Terapêuticos S.A.,
2026-09-02,Cosan S.A.,
2026-09-02,Cremer S.A.,
2026-09-02,Cury Construtora e Incorporadora S.A.,
2026-09-02,Cyrela Brazil Realty S.A. Empreendimentos e Participações (Cyrela),
2026-09-02,DexCo S.A.,
2026-09-02,Diálogo Engenharia e Construção S.A.,
2026-09-02,EDP Energias do Brasil S.A.,
2026-09-02,EDP Espírito Santo Distribuição de Energia S.A.,
2026-09-02,EDP São Paulo Distribuição de Energia S.A.,
2026-09-02,Edge Comercialização S.A.,
2026-09-02,Elekeiroz S.A.,
2026-09-02,Eletropaulo Metropolitana de Eletricidade de São Paulo S.A. (Enel Distribuição São Paulo),
2026-09-02,Empresa Amazonense de Transmissão de Energia S.A.,
2026-09-02,Empresa Baiana de Águas e Saneamento S.A. - EMBASA,
2026-09-02,Empresa Catarinense de Transmissão de Energia S.A.,
2026-09-02,Empresa Norte de Transmissão de Energia S.A.,
2026-09-02,Empresa Paraense de Transmissão de Energia S.A.,
2026-09-02,FS Indústria de Biocombústiveis Ltda.,
2026-09-02,Fleury S.A.,
2026-09-02,Frigol S.A.,
2026-09-02,Frisia Cooperativa Agroindustrial,
2026-09-02,GJA Industrias S.A.,
2026-09-02,Gás de Alagoas S.A. - ALGÁS,
2026-09-02,Helio Valgas Solar Participações S.A.,
2026-09-02,Hidro Forte Administração e Operação S.A.,
2026-09-02,Hidrovias do Brasil S.A.,
2026-09-02,Hospital Anchieta S.A.,
2026-09-02,Hospital Care Caledonia S.A.,
2026-09-02,Hospital Mater Dei S.A.,
2026-09-02,Hospital Vera Cruz S.A.,
2026-09-02,Hypera S.A.,
2026-09-02,In - Haus Industrial e Serviços de Logística S.A.,
2026-09-02,Inpasa Agroindustrial S.A.,
2026-09-02,Inspirali Educação S.A.,
2026-09-02,International Meal Company Alimentação S.A. (Grupo IMC),
2026-09-02,Ipiranga Produtos de Petróleo S.A.,
2026-09-02,Irani Papel e Embalagem S.A.,
2026-09-02,JBS S.A.,
2026-09-02,JSL S.A.,
2026-09-02,Klabin S.A.,
2026-09-02,Kora Saude Participacoes S.A.,
2026-09-02,LM Transportes Interestaduais Serviços e Comércio S.A.,
2026-09-02,Lavvi Empreendimentos Imobiliários S.A.,
2026-09-02,Ligga Telecomunicações S.A.,
2026-09-02,Livetech da Bahia Indústria e Comércio S.A.,
2026-09-02,Localiza Fleet S.A.,
2026-09-02,Localiza Rent a Car S.A.,
2026-09-02,MV4 Participações S.A.,
2026-09-02,Magnum Partners S.A.,
2026-09-02,Melnick Desenvolvimento Imobiliário S.A.,
2026-09-02,Metrô BH S.A.,
